,Confirmed,Country/Region,Deaths,Date,region,Recovered,Suspected,Time,Latitude,Longitude,Y,M,D,date_new
1013,1.0,US,0.0,2-1-20,"Los Angeles, CA",0.0,0.0,19:53,34.0536909,-118.2427666,2020,02,01,01-02-2020
1014,1.0,US,0.0,2-1-20,"Orange, CA",0.0,0.0,19:53,45.8413676,-74.2168946,2020,02,01,01-02-2020
1015,1.0,US,0.0,2-1-20,"Seattle, WA",0.0,0.0,19:43,47.6038321,-122.3300624,2020,02,01,01-02-2020
1016,1.0,US,0.0,2-1-20,"Tempe, AZ",0.0,0.0,19:43,33.4255056,-111.9400125,2020,02,01,01-02-2020
1017,16678.0,Mainland China,479.0,2-4-20,Hubei,522.0,0.0,23:43,31.15172525,112.87832224656043,2020,02,04,04-02-2020
1018,895.0,Mainland China,0.0,2-5-20,Zhejiang,63.0,0.0,1:33,29.0000001,119.9999999,2020,02,05,05-02-2020
1019,870.0,Mainland China,0.0,2-5-20,Guangdong,32.0,0.0,2:03,23.1357694,113.1982688,2020,02,05,05-02-2020
1020,764.0,Mainland China,2.0,2-5-20,Henan,41.0,0.0,1:13,34.0000001,113.9999999,2020,02,05,05-02-2020
1021,661.0,Mainland China,0.0,2-5-20,Hunan,35.0,0.0,1:43,27.9995878,112.009538,2020,02,05,05-02-2020
1022,548.0,Mainland China,0.0,2-5-20,Jiangxi,27.0,0.0,1:33,28.0,116.0,2020,02,05,05-02-2020
1023,530.0,Mainland China,0.0,2-5-20,Anhui,20.0,0.0,1:13,32.0,117.0,2020,02,05,05-02-2020
1024,366.0,Mainland China,2.0,2-5-20,Chongqing,14.0,0.0,0:13,29.5585712,106.5492822,2020,02,05,05-02-2020
1025,341.0,Mainland China,0.0,2-5-20,Jiangsu,13.0,0.0,2:43,33.0000001,119.9999999,2020,02,05,05-02-2020
1026,301.0,Mainland China,1.0,2-5-20,Sichuan,23.0,0.0,0:53,30.5000001,102.4999999,2020,02,05,05-02-2020
